components/rateDetails/noRateDescription2,You can continue to submit the booking without rate.,你仍可在沒有價格的情況下，繼續提交訂艙。,你仍可在没有价格的情况下，继续提交订舱。,運賃なしで予約の送信を続けることができます。,You can continue to submit the booking without rate.,You can continue to submit the booking without rate.,,,,,,,,,,,,,,,,,,,,,
components/booking/airwayBill,Air Waybill,空運提單,空运提单,AWB,Conocimiento aéreo no válido,AWB,,,,,,,,,,,,,,,,,,,,,
components/booking/invalidAirwayBill,Invalid Air Waybill no.,空運提單號碼無效,无效空运提单号码,AWB番号が無効です,Conocimiento aéreo no válido,Ungültige AWB-Nummer,,,,,,,,,,,,,,,,,,,,,
components/booking/airwayBillIsUsed,Air Waybill is already used. Please use another Air Waybill,此空運提單已被使用，請輸入新的提單號碼,此空运提单已被使用，请输入新的提单号码,このAWB番号は既に使用されています。別のAWB番号を使用してください,Air Waybill is already used. Please use another Air Waybill,Air Waybill is already used. Please use another Air Waybill,,,,,,,,,,,,,,,,,,,,,
components/booking/requireWarehouseCode,Please select warehouse code,請選擇倉庫代碼,请选择仓库代码,上屋コードを選択してください,Please select warehouse code,Please select warehouse code,,,,,,,,,,,,,,,,,,,,,
components/booking/ASPReminder,"In order to comply with HKSAR legal requirements, you are required to indicate the ASP quantity in this Goods Descriptions field.",為了遵守香港特別行政區的法律規定，您需要在 “貨品種類”欄內標註電子煙的數量。,为了遵守香港特别行政区的法律规定，您需要在 “货品种类”栏内标注电子烟的数量。,HKSARの法的要件を遵守するため、この商品説明欄にASPの数量を記載する必要があります。,"In order to comply with HKSAR legal requirements, you are required to indicate the ASP quantity in this Goods Descriptions field.","In order to comply with HKSAR legal requirements, you are required to indicate the ASP quantity in this Goods Descriptions field.",,,,,,,,,,,,,,,,,,,,,
components/shipmentDetail/perItem,Per Item,每件,每件,品目毎,Per Item,Per Item,,,,,,,,,,,,,,,,,,,,,
components/settings/serviceMode,Service Mode,運貨模式,运货模式,サービスモード,Service Mode,Service Mode,,,,,,,,,,,,,,,,,,,,,
components/settings/oneStop,1 stop,1中轉站,1中转站,ワンストップ,1 stop,1 stop,,,,,,,,,,,,,,,,,,,,,
components/settings/twoStops,2 stops,2中轉站,2中转站,1回の経由,2 stops,2 stops,2 stops,,,,,,,,,,,,,,,,,,,,
components/settings/moreStops,3 or more stops,3或更多中轉站,3或更多中转站,2回以上の経由,3 or more stops,3 or more stops,,,,,,,,,,,,,,,,,,,,,
components/SQRequirements/adjustDimensionReminder,Please adjust the dimension to match the total volume or update the shipment details on Search Flight page.,請輸入正確尺寸以符合總體積或在搜索航班頁面上更新貨物資料。,請輸入正確尺寸以符合總體積或在搜索航班頁面上更新貨物資料。,総体積に合わせて寸法を調整するか、検索フライトページで貨物詳細を更新してください,Please adjust the dimension to match the total volume or update the shipment details on Search Flight page.,Please adjust the dimension to match the total volume or update the shipment details on Search Flight page.,,,,,,,,,,,,,,,,,,,,,
errorMessage/accessDenied,You do not have permission to access this function. Please contact your administrator for assistance.,您沒有訪問該功能的權限。請聯繫管理員尋求幫助。,您没有访问该功能的权限。请联系管理员寻求帮助。,この機能にアクセスする権限がありません。管理者へご連絡ください。,You do not have permission to access this function. Please contact your administrator for assistance.,You do not have permission to access this function. Please contact your administrator for assistance.,,,,,,,,,,,,,,,,,,,,,
errorMessage/type/nullDefaultCurrency,Default currency not found,未找到默認貨幣,未找到默认货币,既定の通貨が見つかりません,System Error,System Error,,,,,,,,,,,,,,,,,,,,,
common/totalPiece,Total Piece,總件數,总件数,総個数,Total Piece,Total Piece,,,,,,,,,,,,,,,,,,,,,
common/warehouseCode,Warehouse Code,倉庫代碼,仓库代码,上屋コード,Lagercode,Código de almacén,,,,,,,,,,,,,,,,,,,,,
common/generalCargo,General Cargo,一般貨物,一般货物,一般貨物,General Cargo,General Cargo,,,,,,,,,,,,,,,,,,,,,
common/duration,Duration,貨運時間,货运时间,期間,Duration,Duration,,,,,,,,,,,,,,,,,,,,,
